AC_TYPEID,AC_GROUP,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
530,6,BOMBARDIER CRJ550,BOMBARDIER,BOMBARDIER CRJ550,CRJ550,7/1/2019 12:00:00 AM,
541,5,ILYUSHIN 18,ILYUSHIN,ILYUSHIN IL-18,IL-18,1/1/1990 12:00:00 AM,
550,5,LOCKHEED L-188A/C,LOCKHEED,LOCKHEED L-188A/C ELECTRA,ELECTRA,1/1/1990 12:00:00 AM,
552,5,LOCKHEED L-382B,LOCKHEED,LOCKHEED L-382B,L-382B,1/1/1990 12:00:00 AM,
553,5,LOCKHEED L100-10,LOCKHEED,LOCKHEED L100-10 HERCULES,HERCULES,1/1/1990 12:00:00 AM,
555,5,LOCKHEED L100-20,LOCKHEED,LOCKHEED L100-20 HERCULES,HERCULES,1/1/1990 12:00:00 AM,
556,5,LOCKHEED L100-30,LOCKHEED,LOCKHEED L100-30/L-382E,HERCULES,1/1/1990 12:00:00 AM,
560,5,SHORTS-BELFAST-SH5,SHORT BROS.,SHORTS BELFAST FREIGHTER-SH5,SH5,1/1/1990 12:00:00 AM,
570,5,DEHAVILLAND DASH-7,DEHAVILLAND,DEHAVILLAND DHC7 DASH-7,DASH-7,1/1/1990 12:00:00 AM,
575,6,BOMBARDIER LEARJET,BOMBARDIER,BOMBARDIER LEARJET 75,LEAR75,12/1/2013 12:00:00 AM,
580,5,VV-700,VICKERS,VICKERS VISCOUNT 700/744/745/745D,VV-700,1/1/1990 12:00:00 AM,
584,5,VV-800,VICKERS,VICKERS VISCOUNT V800/810/812,VV-800,1/1/1990 12:00:00 AM,
601,6,FOKKER F28-1000,FOKKER,FOKKER F28-1000 FELLOWSHIP,F28-1000,1/1/1990 12:00:00 AM,
602,6,F28-4000/6000,FOKKER,FOKKER F28-4000/6000 FELLOWSHIP,F28-4000,1/1/1990 12:00:00 AM,
603,6,FOKKER 100,FOKKER,FOKKER 100,FOKKR100,1/1/1990 12:00:00 AM,
604,6,FOKKER 70,FOKKER,FOKKER 70,FOKKER70,1/1/1994 12:00:00 AM,
605,6,BAC-111-200,BRITISH AEROSPACE,BRITISH AEROSPACE BAC-111-200,BAC-111,1/1/1990 12:00:00 AM,
606,6,BEECHCRAFT PREMIER,RAYTHEON BEECHCRAFT,RAYTHEON BEECHRAFT 390 PREMIER I,PREMIER ,7/1/2009 12:00:00 AM,
607,6,ANTONOV AN-72/74,ANTONOV,ANTONOV AN-72/74,AN-72/74,9/1/2006 12:00:00 AM,
608,6,BOEING 717-200,BOEING,BOEING 717-200,B717-2,1/1/1999 12:00:00 AM,
609,6,CHALLENGER 300,BOMBARDIER,BOMBARDIER BD-100-1A10 CHALLENGER 300,BD-300,1/1/2007 12:00:00 AM,
610,6,BAC-111-400,BRITISH AEROSPACE,BRITISH AEROSPACE BAC-111-400,BAC-111,1/1/1990 12:00:00 AM,
611,6,AERO COMMNDER 1121,ROCKWELL,AERO COMMANDER 1121,COMMANDR,1/1/1990 12:00:00 AM,
612,6,BOEING 737-700/LR,BOEING,BOEING 737-700/700LR/MAX 7,B737-7,1/1/1998 12:00:00 AM,
613,6,AEROSPATL CORVETTE,AEROSPATIALE,AEROSPATIALE CORVETTE,CORVETTE,1/1/1990 12:00:00 AM,
614,6,BOEING 737-800,BOEING,BOEING 737-800,B737-8,1/1/1998 12:00:00 AM,
615,6,BOEING 737-5/600LR,BOEING,BOEING 737-5/600LR,B737-5LR,1/1/1998 12:00:00 AM,
